                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4687,                0.43836,                      1,                 1.4814,             0.00023523,             0.00023523,             0.00023523
                      2,                 1.0824,                0.65525,                      1,                 1.3401,             0.00046855,             0.00046855,             0.00046855
                      3,                0.90942,                0.65068,                      1,                 1.3093,             0.00069715,             0.00069715,             0.00069715
                      4,                0.82319,                0.67352,                      1,                 1.2696,             0.00069279,             0.00069279,             0.00069279
                      5,                0.78126,                0.71005,                      1,                 1.2477,             0.00068573,             0.00068573,             0.00068573
                      6,                0.65557,                 0.6758,                      1,                 1.2348,             0.00067866,             0.00067866,             0.00067866
                      7,                0.64055,                0.73288,                      1,                 1.2008,             0.00067159,             0.00067159,             0.00067159
                      8,                0.59603,                0.69406,                      1,                 1.2276,             0.00066452,             0.00066452,             0.00066452
                      9,                0.53144,                0.72831,                      1,                 1.2127,             0.00065745,             0.00065745,             0.00065745
                     10,                0.51231,                0.72603,                      1,                 1.1984,             0.00065038,             0.00065038,             0.00065038
                     11,                0.48119,                0.72374,                      1,                 1.2056,             0.00064331,             0.00064331,             0.00064331
                     12,                0.48322,                0.69863,                      1,                 1.2215,             0.00063625,             0.00063625,             0.00063625
                     13,                0.36717,                0.72146,                      1,                 1.2044,             0.00062918,             0.00062918,             0.00062918
                     14,                0.38692,                0.75799,                      1,                 1.1737,             0.00062211,             0.00062211,             0.00062211
                     15,                0.39434,                0.69863,                      1,                 1.2127,             0.00061504,             0.00061504,             0.00061504
                     16,                0.34216,                 0.7032,                      1,                 1.2027,             0.00060797,             0.00060797,             0.00060797
                     17,                0.33911,                0.75342,                      1,                 1.1644,              0.0006009,              0.0006009,              0.0006009
                     18,                0.32686,                0.77626,                      1,                 1.1589,             0.00059383,             0.00059383,             0.00059383
                     19,                0.29296,                0.75114,                      1,                 1.1783,             0.00058677,             0.00058677,             0.00058677
                     20,                0.25899,                 0.7032,                      1,                 1.1981,              0.0005797,              0.0005797,              0.0005797
                     21,                0.28873,                0.68721,                      1,                 1.2255,             0.00057263,             0.00057263,             0.00057263
                     22,                0.25202,                0.70548,                      1,                 1.1919,             0.00056556,             0.00056556,             0.00056556
                     23,                0.25063,                0.71233,                      1,                 1.1981,             0.00055849,             0.00055849,             0.00055849
                     24,                0.23856,                0.74201,                      1,                 1.1751,             0.00055142,             0.00055142,             0.00055142
                     25,                0.22883,                0.73288,                      1,                 1.1753,             0.00054435,             0.00054435,             0.00054435
                     26,                0.22911,                0.70548,                      1,                 1.2084,             0.00053728,             0.00053728,             0.00053728
                     27,                 0.2468,                0.73744,                      1,                 1.1746,             0.00053022,             0.00053022,             0.00053022
